annee;pop_afss_optimiste;pop_congo_optimiste;conso_afss_optimiste;conso_congo_optimiste;acces_afss_optimiste;acces_congo_optimiste;capacite_optimiste;sans_elec_optimiste;pop_afss_realiste;pop_congo_realiste;conso_afss_realiste;conso_congo_realiste;acces_afss_realiste;acces_congo_realiste;capacite_realiste;sans_elec_realiste;pop_afss_pessimiste;pop_congo_pessimiste;conso_afss_pessimiste;conso_congo_pessimiste;acces_afss_pessimiste;acces_congo_pessimiste;capacite_pessimiste;sans_elec_pessimiste
2024;1290,1;6,33;402,8;360,35;55,0;53,1;114,9;580,7;1291,4;6,34;393,4;351,89;53,9;52,0;112,3;595,6;1291,4;6,34;389,6;345,12;53,3;51,5;111,2;602,8
2025;1321,1;6,48;431,0;383,77;56,7;54,9;123,0;571,8;1323,7;6,5;411,1;365,96;54,5;52,7;117,3;602,3;1323,7;6,5;403,2;352,02;53,4;51,8;115,1;617,0
2026;1352,8;6,64;461,1;408,71;58,4;56,7;131,6;562,1;1356,8;6,66;429,6;380,6;55,1;53,4;122,6;609,0;1356,8;6,66;417,4;359,06;53,4;52,0;119,1;631,6
2027;1385,3;6,8;493,4;435,28;60,2;58,5;140,8;551,6;1390,7;6,82;448,9;395,83;55,7;54,1;128,1;615,6;1390,7;6,82;432,0;366,24;53,5;52,3;123,3;646,5
2028;1418,5;6,96;528,0;463,57;61,9;60,3;150,7;540,3;1425,4;7,0;469,1;411,66;56,4;54,8;133,9;622,1;1425,4;7,0;447,1;373,57;53,6;52,5;127,6;661,7
2029;1452,6;7,13;564,9;493,71;63,6;62,1;161,2;528,1;1461,1;7,17;490,2;428,12;57,0;55,5;139,9;628,6;1461,1;7,17;462,7;381,04;53,6;52,8;132,1;677,3
2030;1487,4;7,3;604,5;525,8;65,4;63,9;172,5;515,0;1497,6;7,35;512,3;445,25;57,6;56,1;146,2;635,0;1497,6;7,35;478,9;388,66;53,7;53,0;136,7;693,3
2031;1523,1;7,47;646,8;559,97;67,1;65,7;184,6;501,0;1535,1;7,53;535,3;463,06;58,2;56,8;152,8;641,4;1535,1;7,53;495,7;396,43;53,8;53,3;141,5;709,6
2032;1559,7;7,65;692,0;596,37;68,8;67,5;197,5;486,0;1573,4;7,72;559,4;481,58;58,8;57,5;159,6;647,7;1573,4;7,72;513,0;404,36;53,8;53,5;146,4;726,3
2033;1597,1;7,84;740,5;635,14;70,6;69,3;211,3;470,1;1612,8;7,91;584,6;500,85;59,5;58,2;166,8;653,9;1612,8;7,91;531,0;412,45;53,9;53,8;151,5;743,5
2034;1635,4;8,03;792,3;676,42;72,3;71,1;226,1;453,0;1653,1;8,11;610,9;520,88;60,1;58,9;174,3;660,0;1653,1;8,11;549,6;420,7;54,0;54,0;156,8;761,0
2035;1674,7;8,22;847,8;720,39;74,0;72,9;241,9;434,9;1694,4;8,32;638,4;541,71;60,7;59,6;182,2;665,9;1694,4;8,32;568,8;429,11;54,0;54,3;162,3;778,9
2036;1714,9;8,42;907,1;767,21;75,8;74,7;258,9;415,6;1736,8;8,52;667,1;563,38;61,3;60,3;190,4;671,8;1736,8;8,52;588,7;437,7;54,1;54,5;168,0;797,3
2037;1756,0;8,62;970,6;817,08;77,5;76,6;277,0;395,2;1780,2;8,74;697,1;585,92;61,9;61,0;199,0;677,6;1780,2;8,74;609,3;446,45;54,2;54,8;173,9;816,0
2038;1798,2;8,82;1038,6;870,19;79,2;78,4;296,4;373,6;1824,7;8,95;728,5;609,36;62,6;61,7;207,9;683,2;1824,7;8,95;630,6;455,38;54,2;55,0;180,0;835,3
2039;1841,3;9,04;1111,3;926,75;81,0;80,2;317,1;350,7;1870,3;9,18;761,3;633,73;63,2;62,4;217,3;688,7;1870,3;9,18;652,7;464,49;54,3;55,3;186,3;854,9
2040;1885,5;9,25;1189,1;986,99;82,7;82,0;339,3;326,4;1917,1;9,41;795,5;659,08;63,8;63,1;227,0;694,0;1917,1;9,41;675,6;473,78;54,4;55,5;192,8;875,1
2041;1930,8;9,48;1272,3;1051,15;84,4;83,8;363,1;300,8;1965,0;9,64;831,3;685,44;64,4;63,8;237,3;699,2;1965,0;9,64;699,2;483,25;54,4;55,8;199,5;895,7
2042;1977,1;9,7;1361,4;1119,47;86,1;85,6;388,5;273,8;2014,1;9,88;868,7;712,86;65,0;64,5;247,9;704,2;2014,1;9,88;723,7;492,92;54,5;56,0;206,5;916,8
2043;2024,6;9,94;1456,7;1192,24;87,9;87,4;415,7;245,4;2064,5;10,13;907,8;741,37;65,7;65,2;259,1;709,0;2064,5;10,13;749,0;502,78;54,5;56,3;213,8;938,3
2044;2073,2;10,17;1558,6;1269,73;89,6;89,2;444,8;215,4;2116,1;10,38;948,7;771,03;66,3;65,8;270,7;713,6;2116,1;10,38;775,2;512,83;54,6;56,5;221,2;960,4
2045;2122,9;10,42;1667,7;1352,27;91,3;91,0;476,0;183,8;2169,0;10,64;991,4;801,87;66,9;66,5;282,9;718,0;2169,0;10,64;802,4;523,09;54,7;56,8;229,0;983,1
2046;2173,9;10,67;1784,5;1440,16;93,1;92,8;509,3;150,5;2223,2;10,91;1036,0;833,94;67,5;67,2;295,7;722,1;2223,2;10,91;830,4;533,55;54,7;57,0;237,0;1006,2
2047;2226,0;10,92;1909,4;1533,77;94,8;94,6;544,9;115,6;2278,8;11,18;1082,6;867,3;68,1;67,9;309,0;726,0;2278,8;11,18;859,5;544,22;54,8;57,3;245,3;1029,9
2048;2279,5;11,19;2043,0;1633,47;96,5;96,4;583,1;78,9;2335,8;11,46;1131,3;901,99;68,8;68,6;322,9;729,7;2335,8;11,46;889,6;555,1;54,9;57,5;253,9;1054,1
2049;2334,2;11,45;2186,1;1739,64;98,3;98,2;623,9;40,4;2394,2;11,75;1182,2;938,07;69,4;69,3;337,4;733,1;2394,2;11,75;920,7;566,21;54,9;57,8;262,8;1078,9
2050;2390,2;11,73;2339,1;1852,72;100,0;100,0;667,5;0,0;2454,0;12,04;1235,4;975,6;70,0;70,0;352,6;736,2;2454,0;12,04;953,0;577,53;55,0;58,0;272,0;1104,3
